candidate_id,path,line,workspace,symbol,api,listener_kind,host_expression,port_expression,production_status,test_status,confidence,review_status,source_sha256
L00001,"apps/cli/src/connectors/chat-runtime.ts",78,apps/cli,"http",createServer(http),http,,,production,non-test,candidate,unreviewed,407e6ce1fad24ab12ca5cfc95066b0737b3d3e1f34aa91bd4d48161659862299
L00002,"apps/vscode/scripts/testing-platform-orchestrator.ts",57,apps/vscode,"net",createServer(net),tcp,,,production,non-test,candidate,unreviewed,950faa37661cf68db83e58ff16df09184092482097c6731e7c8d0ba45b9c279f
L00003,"apps/vscode/src/dev/debug-harness/server.ts",1506,apps/vscode,"http",createServer(http),http,,,production,non-test,candidate,unreviewed,52f658c88b039779c28c4ab5b31c242130117699f8ccf71b97dce26cd0522fb5
L00004,"apps/vscode/src/dev/mcp-oauth-test-server/server.ts",262,apps/vscode,"http",createServer(http),http,,,production,non-test,candidate,unreviewed,bd4584b209e01fdbab6c91bbbbe19da7acd15ae7405be4d4d2e8d8380dfc96f6
L00005,"apps/vscode/src/hosts/external/AuthHandler.ts",68,apps/vscode,"http",createServer(http),http,,,production,non-test,candidate,unreviewed,c3290f7f4a4a5586460c0c0f86e7bcff85079bbc379f1335b3ce35c90b1e4170
L00006,"apps/vscode/src/integrations/openai-codex/oauth.ts",650,apps/vscode,"http",createServer(http),http,,,production,non-test,candidate,unreviewed,6a7ca752024a0b17ebb988f973e87241a83af35ce8c86b8a9c616aaa339e9040
L00007,"factory/scripts/collect-network-listeners.ts",51,root,"SSEServerTransport",MCP_SSE,mcp-sse,,,production,non-test,candidate,unreviewed,579c77921d0baf547e1c80e88f64dbefa55d6274e0d02a5e772a99d15d8372cb
L00008,"factory/scripts/collect-network-listeners.ts",52,root,"StdioServerTransport",stdioServer,mcp-stdio,,,production,non-test,candidate,unreviewed,579c77921d0baf547e1c80e88f64dbefa55d6274e0d02a5e772a99d15d8372cb
L00009,"sdk/packages/core/src/auth/server.test.ts",8,sdk/packages/core,"net",createServer(net),tcp,,0,test,test,candidate,unreviewed,b809b0902edbbd2217762e31645259b792758aba34a0130547c4b696430e9365
L00010,"sdk/packages/core/src/auth/server.test.ts",10,sdk/packages/core,"\.listen",Server.listen,tcp,,0,test,test,candidate,unreviewed,b809b0902edbbd2217762e31645259b792758aba34a0130547c4b696430e9365
L00011,"sdk/packages/core/src/auth/server.test.ts",30,sdk/packages/core,"net",createServer(net),tcp,,0,test,test,candidate,unreviewed,b809b0902edbbd2217762e31645259b792758aba34a0130547c4b696430e9365
L00012,"sdk/packages/core/src/auth/server.test.ts",31,sdk/packages/core,"\.listen",Server.listen,tcp,,0,test,test,candidate,unreviewed,b809b0902edbbd2217762e31645259b792758aba34a0130547c4b696430e9365
L00013,"sdk/packages/core/src/auth/server.test.ts",42,sdk/packages/core,"http",createServer(http),http,,,test,test,candidate,unreviewed,b809b0902edbbd2217762e31645259b792758aba34a0130547c4b696430e9365
L00014,"sdk/packages/core/src/auth/server.ts",129,sdk/packages/core,"http",createServer(http),http,,,production,non-test,candidate,unreviewed,a93246a30a6a2be0b7c2f0896e26de52b7ed7e2f7b558bbd315c938989772ac2
L00015,"sdk/packages/core/src/hub/server/hub-websocket-server.ts",178,sdk/packages/core,"net",createServer(net),tcp,,0,production,non-test,candidate,unreviewed,f837a2dcece93ce53e46aaf6dc529dede3027caf2c032af8b68b8a38856c2305
L00016,"sdk/packages/core/src/hub/server/hub-websocket-server.ts",180,sdk/packages/core,"\.listen",Server.listen,tcp,,0,production,non-test,candidate,unreviewed,f837a2dcece93ce53e46aaf6dc529dede3027caf2c032af8b68b8a38856c2305
L00017,"sdk/packages/core/src/hub/server/hub-websocket-server.ts",359,sdk/packages/core,"http",createServer(http),http,,,production,non-test,candidate,unreviewed,f837a2dcece93ce53e46aaf6dc529dede3027caf2c032af8b68b8a38856c2305
L00018,"sdk/packages/core/src/hub/server/hub-websocket-server.ts",430,sdk/packages/core,"WebSocketServer",WebSocketServer,websocket,,,production,non-test,candidate,unreviewed,f837a2dcece93ce53e46aaf6dc529dede3027caf2c032af8b68b8a38856c2305
