candidate_id,path,line,workspace,symbol,sink_kind,api,argument_summary,production_status,test_status,confidence,review_status,source_sha256
S000001,"apps/cli/bin/ca-certs.cjs",171,apps/cli,"writeFile",filesystem write,fs.writeFile,"stamp, """", { mode: 0o600 }",production,non-test,candidate,unreviewed,46c23ae7f4deff43def64d3e61f8054407bf2a2ce571448880648835e7c7a4f0
S000002,"apps/cli/bin/ca-certs.cjs",185,apps/cli,"writeFile",filesystem write,fs.writeFile,"tmp, content, { mode: 0o600 }",production,non-test,candidate,unreviewed,46c23ae7f4deff43def64d3e61f8054407bf2a2ce571448880648835e7c7a4f0
S000003,"apps/cli/bin/ca-certs.cjs",190,apps/cli,"rm",filesystem delete,fs.rm,"target, { force: true }",production,non-test,candidate,unreviewed,46c23ae7f4deff43def64d3e61f8054407bf2a2ce571448880648835e7c7a4f0
S000004,"apps/cli/bin/ca-certs.cjs",197,apps/cli,"rm",filesystem delete,fs.rm,"tmp, { force: true }",production,non-test,candidate,unreviewed,46c23ae7f4deff43def64d3e61f8054407bf2a2ce571448880648835e7c7a4f0
S000005,"apps/cli/script/build.ts",268,apps/cli,"Bun.write",filesystem delete,Bun.write,"join(bootstrapDir, ""plugin-sandbox-bootstrap.js""",production,non-test,candidate,unreviewed,0fd192a07329177039c35c360ed7021281e73f5210e5477a00195bbeca2ca736
S000006,"apps/cli/script/build.ts",280,apps/cli,"Bun.write",filesystem delete,Bun.write,"",production,non-test,candidate,unreviewed,0fd192a07329177039c35c360ed7021281e73f5210e5477a00195bbeca2ca736
S000007,"apps/cli/script/postinstall.mjs",67,apps/cli,"unlink",filesystem delete,fs.unlink,"target",production,non-test,candidate,unreviewed,63d43a678a19776488ca29e3cbd268b07dc46793675b626bee9be830431b5cd5
S000008,"apps/cli/script/publish-npm.ts",102,apps/cli,"rm",filesystem delete,fs.rm,"join(dir, entry",production,non-test,candidate,unreviewed,6b780109939e718d94464c27b17adbaea54c6bd45b51477077afb7647ec52a74
S000009,"apps/cli/script/publish-npm.ts",111,apps/cli,"spawnSync",process execution,child_process.spawnSync,"",production,non-test,candidate,unreviewed,6b780109939e718d94464c27b17adbaea54c6bd45b51477077afb7647ec52a74
S000010,"apps/cli/script/publish-npm.ts",111,apps/cli,"Bun.spawnSync",process execution,Bun.spawnSync,"",production,non-test,candidate,unreviewed,6b780109939e718d94464c27b17adbaea54c6bd45b51477077afb7647ec52a74
S000011,"apps/cli/script/publish-npm.ts",168,apps/cli,"npm publish",package publication,npm publish,"input.dir",production,non-test,candidate,unreviewed,6b780109939e718d94464c27b17adbaea54c6bd45b51477077afb7647ec52a74
S000012,"apps/cli/script/publish-npm.ts",332,apps/cli,"Bun.write",filesystem delete,Bun.write,"",production,non-test,candidate,unreviewed,6b780109939e718d94464c27b17adbaea54c6bd45b51477077afb7647ec52a74
S000013,"apps/cli/src/bin/ca-certs.test.ts",56,apps/cli,"rm",filesystem delete,fs.rm,"dir, { recursive: true, force: true }",test,test,candidate,unreviewed,699070904c6b98ec0025c13114ce51929c84868d0897b6ca93d2df0610146bf7
S000014,"apps/cli/src/bin/ca-certs.test.ts",84,apps/cli,"writeFile",filesystem write,fs.writeFile,"p, certUser",test,test,candidate,unreviewed,699070904c6b98ec0025c13114ce51929c84868d0897b6ca93d2df0610146bf7
S000015,"apps/cli/src/bin/ca-certs.test.ts",90,apps/cli,"writeFile",filesystem write,fs.writeFile,"p, Buffer.from([0x30, 0x82, 0x01, 0x02]",test,test,candidate,unreviewed,699070904c6b98ec0025c13114ce51929c84868d0897b6ca93d2df0610146bf7
S000016,"apps/cli/src/bin/ca-certs.test.ts",103,apps/cli,"writeFile",filesystem write,fs.writeFile,"",test,test,candidate,unreviewed,699070904c6b98ec0025c13114ce51929c84868d0897b6ca93d2df0610146bf7
S000017,"apps/cli/src/bin/ca-certs.test.ts",116,apps/cli,"writeFile",filesystem write,fs.writeFile,"p, `${certUser}\n${certSystem}`",test,test,candidate,unreviewed,699070904c6b98ec0025c13114ce51929c84868d0897b6ca93d2df0610146bf7
S000018,"apps/cli/src/bin/ca-certs.test.ts",122,apps/cli,"writeFile",filesystem write,fs.writeFile,"p, ""-----BEGIN CERTIFICATE-----\ntruncated""",test,test,candidate,unreviewed,699070904c6b98ec0025c13114ce51929c84868d0897b6ca93d2df0610146bf7
S000019,"apps/cli/src/bin/ca-certs.test.ts",130,apps/cli,"writeFile",filesystem write,fs.writeFile,"p, certUser",test,test,candidate,unreviewed,699070904c6b98ec0025c13114ce51929c84868d0897b6ca93d2df0610146bf7
